vcmp.f64,cmp.w,bne.n,cmp,ldrh,vcmp.f64,cmp.w,bne.n,cmp,ldrh
vmrs,blt.n,eors,bgt.n,mov,vmrs,blt.n,eors,bgt.n,mov
bne.w,beq.n,ldrb.w,movs,stmdb,bne.w,beq.n,ldrb.w,movs,stmdb
movs,vsub.f32,mul.w,adds,cbz,movs,vsub.f32,mul.w,adds,cbz
vsub.f64,add,cmp,mov,ldrh.w,vsub.f64,add,cmp,mov,ldrh.w
vcmp.f64,pop,bne.n,mov.w,movs,vcmp.f64,pop,bne.n,mov.w,movs
vmrs,vsub.f32,bx,strd,ldrh.w,vmrs,vsub.f32,bx,strd,ldrh.w
vcmp.f64,vmul.f32,cmp,movw,mov,vcmp.f64,vmul.f32,cmp,movw,mov
ite,vmov.f32,add,movt,ldr.w,ite,vmov.f32,add,movt,ldr.w
movne,blx,bne.n,ldrd,ldrh.w,movne,blx,bne.n,ldrd,ldrh.w
vmrs,add,add,strd,lsls,vmrs,add,add,strd,lsls
bne.w,add,strb.w,cmp,orrs,bne.w,add,strb.w,cmp,orrs
cmp,ldr,blx,bne.n,ldr.w,cmp,ldr,blx,bne.n,ldr.w
bne.w,vmov,ldrb,movs,orrs,bne.w,vmov,ldrb,movs,orrs
vsub.f64,movw,cbz,adds,orrs,vsub.f64,movw,cbz,adds,orrs
vcmp.f64,movt,movw,mov,ldrh,vcmp.f64,movt,movw,mov,ldrh
vmrs,vmov.f32,movt,mov.w,mov,vmrs,vmov.f32,movt,mov.w,mov
vcmp.f64,push,mov,strd,mul.w,vcmp.f64,push,mov,strd,mul.w
ite,sub,movw,movw,mla,ite,sub,movw,movw,mla
movne,bic.w,eors,movt,umull,movne,bic.w,eors,movt,umull
vmrs,cmp,ldrb.w,ldrd,adds,vmrs,cmp,ldrb.w,ldrd,adds
bne.n,ble.n,mul.w,strd,add,bne.n,ble.n,mul.w,strd,add
cmp,cmp.w,cmp,cmp,adc.w,cmp,cmp.w,cmp,cmp,adc.w
bne.n,blt.n,bne.n,ble.n,strh.w,bne.n,blt.n,bne.n,ble.n,strh.w
cmp,beq.n,eors,movs,strh.w,cmp,beq.n,eors,movs,strh.w
bne.n,vsub.f32,ldrb.w,b.n,lsrs,bne.n,vsub.f32,ldrb.w,b.n,lsrs
vsub.f64,add,mul.w,adds,strh.w,vsub.f64,add,mul.w,adds,strh.w
vcmp.f64,pop,cmp,mov,ldmia.w,vcmp.f64,pop,cmp,mov,ldmia.w
vmrs,subs,bne.n,mov.w,bx,vmrs,subs,bne.n,mov.w,bx
bne.n,vdiv.f32,eors,strd,cmp,bne.n,vdiv.f32,eors,strd,cmp
vcmp.f64,bne.n,ldrb.w,movw,ittte,vcmp.f64,bne.n,ldrb.w,movw,ittte
vmrs,vadd.f32,mul.w,movt,ldrhge,vmrs,vadd.f32,mul.w,movt,ldrhge
bne.n,vmul.f32,cmp,ldrd,movge,bne.n,vmul.f32,cmp,ldrd,movge
vsub.f64,vsub.f32,bne.n,strd,ldrhge,vsub.f64,vsub.f32,bne.n,strd,ldrhge
vcmp.f64,vdiv.f32,eors,cmp,ittt,vcmp.f64,vdiv.f32,eors,cmp,ittt
vmrs,vdiv.f32,ldrb.w,bgt.n,lslge,vmrs,vdiv.f32,ldrb.w,bgt.n,lslge
bne.n,vmov.f32,mul.w,movs,orrge.w,bne.n,vmov.f32,mul.w,movs,orrge.w
vcmp.f64,vadd.f32,cmp,b.n,strge,vcmp.f64,vadd.f32,cmp,b.n,strge
vmrs,blx,bne.n,adds,pop,vmrs,blx,bne.n,adds,pop
bne.n,add,eors,mov,ldr,bne.n,add,eors,mov,ldr
vsub.f64,add,ldrb.w,mov.w,add,vsub.f64,add,ldrb.w,mov.w,add
vcmp.f64,ldr,mul.w,strd,pop,vcmp.f64,ldr,mul.w,strd,pop
vmrs,vmov,cmp,movw,subs,vmrs,vmov,cmp,movw,subs
bne.n,movw,bne.n,movt,add,bne.n,movw,bne.n,movt,add
vcmp.f64,movt,eors,ldrd,bne.n,vcmp.f64,movt,eors,ldrd,bne.n
vmrs,vmov.f32,ldrb.w,strd,blx,vmrs,vmov.f32,ldrb.w,strd,blx
bne.n,push,mul.w,cmp,add,bne.n,push,mul.w,cmp,add
vsub.f64,sub,cmp,bne.n,add,vsub.f64,sub,cmp,bne.n,add
vcmp.f64,bic.w,bne.n,movs,ldr,vcmp.f64,bic.w,bne.n,movs,ldr
vmrs,cmp,eors,b.n,ldr,vmrs,cmp,eors,b.n,ldr
beq.n,ble.n,ldrb.w,adds,push,beq.n,ble.n,ldrb.w,adds,push
vcmp.f64,cmp.w,mul.w,mov,add,vcmp.f64,cmp.w,mul.w,mov,add
vmrs,blt.n,cmp,mov.w,sub,vmrs,blt.n,cmp,mov.w,sub
bne.n,beq.n,bne.n,strd,mov,bne.n,beq.n,bne.n,strd,mov
vpop,vsub.f32,eors,movw,mov,vpop,vsub.f32,eors,movw,mov
vmov.f64,add,ldrb.w,movt,bl,vmov.f64,add,ldrb.w,movt,bl
vmov.f64,pop,mul.w,ldrd,push,vmov.f64,pop,mul.w,ldrd,push
bx,vmul.f32,cmp,strd,mov,bx,vmul.f32,cmp,strd,mov
movs,vadd.f32,bne.n,cmp,mov,movs,vadd.f32,bne.n,cmp,mov
movt,vadd.f32,eors,ble.n,bl,movt,vadd.f32,eors,ble.n,bl
movs,vadd.f32,ldrb.w,movs,ldrh,movs,vadd.f32,ldrb.w,movs,ldrh
vmov,blx,mul.w,adds,mov,vmov,blx,mul.w,adds,mov
movs,add,cmp,mov,stmdb,movs,add,cmp,mov,stmdb
movs,add,bne.n,mov.w,cbz,movs,add,bne.n,mov.w,cbz
vmov.f64,ldr,eors,strd,ldrh.w,vmov.f64,ldr,eors,strd,ldrh.w
