bne.n,cmp,vcvt.f64.s32,movs,str,mov.w,adds,mov,sub.w,lsrs
adds,vadd.f64,vadd.f64,vsub.f64,ldr,mla,cmp,mov,add.w,uxth
pop,bne.n,vdiv.f64,vcmp.f64,str,ldr.w,vcvt.f64.s32,bge.n,vldr,lsrs
subs,vldmdb,vsub.f64,vmrs,str,lsrs,vmul.f64,adds,vmla.f64,mla
mov,cmp,vadd.f64,vcmp.f64,str,uxth,vdiv.f64,mov,add.w,mla
cmp,vadd.f64,vsub.f64,ite,bl,add.w,vadd.f64,adc.w,vmov,pop
bne.n,bne.n,vadd.f64,movne,push,mla,beq.n,cmp,vldr,str
adds,vldmdb,vsub.f64,vmrs,cmp,lsrs,vsub.f64,sbcs.w,vldr,add.w
pop,cmp,vadd.f64,bne.w,sub,uxth,vabs.f64,mov,vmov,str
subs,vadd.f64,vsub.f64,cmp,ldrh.w,mov.w,vcmpe.f64,mov,vcvt.f64.s32,bx
mov,bne.n,beq.n,bne.w,ldrb.w,mov.w,vmov.f64,mov,vcmpe.f64,vmov.f32
cmp,vldmdb,vsub.f64,vsub.f64,bgt.n,mla,vmrs,bge.n,vmrs,vadd.f32
bne.n,cmp,vabs.f64,vcmp.f64,ldr,mov.w,bgt.n,adds,ubfx,vdiv.f32
adds,vadd.f64,vcmpe.f64,vmrs,subs,mov,vmov,mov,sub.w,mul.w
pop,bne.n,vmov.f64,vcmp.f64,str,add.w,adds,adc.w,vmov,bl
subs,vldmdb,vmrs,ite,ldr,orr.w,cmp,cmp,add.w,movw
mov,cmp,bgt.n,movne,str,ldr,vcvt.f64.s32,sbcs.w,add.w,movt
cmp,vadd.f64,vmov,vmrs,ldr,strb,vmul.f64,mov,vldr,push
bne.n,bne.n,adds,bne.n,str,lsrs,vdiv.f64,mov,vstr,movw
adds,vldmdb,adds,cmp,ldr,orr.w,vadd.f64,mov,vcvt.f64.s32,ldmia.w
pop,cmp,vmov,bne.n,str,strb.w,beq.n,bge.n,vldr,movw
subs,vadd.f64,adds,cmp,ldr,ldr.w,vsub.f64,adds,vldr,uxth
mov,bne.n,vmov,bne.n,str,mov,vabs.f64,mov,vldr,lsrs
cmp,vldr,adds,vsub.f64,str,lsrs,vcmpe.f64,adc.w,vmla.f64,uxth
bne.n,vsub.f64,vmov,vcmp.f64,str,orr.w,vmov.f64,cmp,vldr,lsrs
adds,vldr,adds,vmrs,bl,strb.w,vmrs,sbcs.w,vmov.f64,mla
pop,vmov,vcvt.f64.s32,bne.n,push,lsrs,bgt.n,mov,vmov.f64,mla
subs,ldr,vmov,vcmp.f64,cmp,ldr.w,vmov,mov,vmla.f64,pop
mov,movw,adds,vmrs,sub,orr.w,adds,mov,vmul.f64,str
cmp,movt,vmov,bne.n,ldrh.w,ldr,cmp,bge.n,vmul.f64,add.w
bne.n,ldr,mov,vsub.f64,ldrb.w,strb,vcvt.f64.s32,adds,vsub.f64,str
adds,add,vmov,vcmp.f64,bgt.n,lsrs,vmul.f64,mov,vmul.f64,bx
pop,vldr,adds,vmrs,ldr,orr.w,vdiv.f64,adc.w,vmla.f64,eor.w
subs,add,adds,bne.n,subs,strb.w,vadd.f64,cmp,vmul.f64,bl
mov,mov,vmov,vcmp.f64,str,ldr.w,beq.n,sbcs.w,it,movw
cmp,vadd.f64,cmp,vmrs,ldr,lsrs,vsub.f64,mov,vmla.f64,movt
bne.n,vldr,vdiv.f64,bne.n,str,lsrs,vabs.f64,mov,vaddmi.f64,push
adds,vadd.f64,vcvt.f64.s32,vsub.f64,ldr,lsrs,vcmpe.f64,mov,vmul.f64,movw
pop,vldr,vdiv.f64,vcmp.f64,str,strb.w,vmov.f64,bge.n,bmi.n,ldmia.w
subs,ubfx,vcvt.f64.s32,vmrs,ldr,ldr,vmrs,adds,vmov.f64,movw
mov,sub.w,vdiv.f64,bne.n,str,ldr.w,bgt.n,mov,vcmpe.f64,uxth
cmp,smull,vcvt.f64.s32,vcmp.f64,ldr,strb,vmov,adc.w,vmrs,lsrs
bne.n,asrs,vdiv.f64,vmrs,str,strb.w,adds,cmp,it,uxth
adds,ldrd,vcvt.f64.s32,bne.n,str,add.w,cmp,sbcs.w,bmi.n,lsrs
pop,vadd.f64,vdiv.f64,vsub.f64,str,cmp.w,vcvt.f64.s32,mov,vmovmi.f64,mla
subs,rsb,vcvt.f64.s32,vcmp.f64,bl,bne.n,vmul.f64,mov,vcmpe.f64,mla
mov,bic.w,vdiv.f64,vmrs,push,uxth,vdiv.f64,mov,vmrs,pop
cmp,add.w,vcvt.f64.s32,beq.n,cmp,lsrs,vadd.f64,bge.n,ite,str
bne.n,add.w,vdiv.f64,vcmp.f64,sub,uxth,beq.n,adds,vsubgt.f64,add.w
adds,sub.w,vcvt.f64.s32,vmrs,ldrh.w,lsrs,vsub.f64,mov,vcmpe.f64,str
pop,vmov,vadd.f64,bne.n,ldrb.w,mla,vabs.f64,adc.w,vaddle.f64,bx
subs,vadd.f64,vdiv.f64,vpop,bgt.n,mov.w,vcmpe.f64,cmp,vmrs,vmul.f32
