bne.n,cmp,vcvt.f64.s32,movs,str,mov.w,adds,mov,sub.w,lsrs,vmul.f64,add.w
adds,vadd.f64,vadd.f64,vsub.f64,ldr,mla,cmp,mov,add.w,uxth,vstmia,rsb
pop,bne.n,vdiv.f64,vcmp.f64,str,ldr.w,vcvt.f64.s32,bge.n,vldr,lsrs,cmp,lsl.w
subs,vldmdb,vsub.f64,vmrs,str,lsrs,vmul.f64,adds,vmla.f64,mla,vmul.f64,lsr.w
mov,cmp,vadd.f64,vcmp.f64,str,uxth,vdiv.f64,mov,add.w,mla,bne.n,lsl.w
cmp,vadd.f64,vsub.f64,ite,bl,add.w,vadd.f64,adc.w,vmov,pop,vldmia,orr.w
bne.n,bne.n,vadd.f64,movne,push,mla,beq.n,cmp,vldr,str,vmul.f64,lsr.w
adds,vldmdb,vsub.f64,vmrs,cmp,lsrs,vsub.f64,sbcs.w,vldr,add.w,vmul.f64,add
pop,cmp,vadd.f64,bne.w,sub,uxth,vabs.f64,mov,vmov,str,vstmia,b.n
subs,vadd.f64,vsub.f64,cmp,ldrh.w,mov.w,vcmpe.f64,mov,vcvt.f64.s32,bx,cmp,cmp.w
mov,bne.n,beq.n,bne.w,ldrb.w,mov.w,vmov.f64,mov,vcmpe.f64,vmov.f32,vmul.f64,bcc.n
cmp,vldmdb,vsub.f64,vsub.f64,bgt.n,mla,vmrs,bge.n,vmrs,vadd.f32,bne.n,cmp.w
bne.n,cmp,vabs.f64,vcmp.f64,ldr,mov.w,bgt.n,adds,ubfx,vdiv.f32,vldmia,bcc.n
adds,vadd.f64,vcmpe.f64,vmrs,subs,mov,vmov,mov,sub.w,mul.w,vmul.f64,lsrs
pop,bne.n,vmov.f64,vcmp.f64,str,add.w,adds,adc.w,vmov,bl,vmul.f64,movs.w
subs,vldmdb,vmrs,ite,ldr,orr.w,cmp,cmp,add.w,movw,vstmia,mov.w
mov,cmp,bgt.n,movne,str,ldr,vcvt.f64.s32,sbcs.w,add.w,movt,cmp,add.w
cmp,vadd.f64,vmov,vmrs,ldr,strb,vmul.f64,mov,vldr,push,vmul.f64,mov.w
bne.n,bne.n,adds,bne.n,str,lsrs,vdiv.f64,mov,vstr,movw,bne.n,cmn.w
adds,vldmdb,adds,cmp,ldr,orr.w,vadd.f64,mov,vcvt.f64.s32,ldmia.w,vldmia,bcs.w
pop,cmp,vmov,bne.n,str,strb.w,beq.n,bge.n,vldr,movw,vmul.f64,cmp.w
subs,vadd.f64,adds,cmp,ldr,ldr.w,vsub.f64,adds,vldr,uxth,vmul.f64,it
mov,bne.n,vmov,bne.n,str,mov,vabs.f64,mov,vldr,lsrs,vstmia,adcs.w
cmp,vldr,adds,vsub.f64,str,lsrs,vcmpe.f64,adc.w,vmla.f64,uxth,cmp,adceq.w
bne.n,vsub.f64,vmov,vcmp.f64,str,orr.w,vmov.f64,cmp,vldr,lsrs,vmul.f64,orr.w
adds,vldr,adds,vmrs,bl,strb.w,vmrs,sbcs.w,vmov.f64,mla,bne.n,pop
pop,vmov,vcvt.f64.s32,bne.n,push,lsrs,bgt.n,mov,vmov.f64,mla,ldr,subs
subs,ldr,vmov,vcmp.f64,cmp,ldr.w,vmov,mov,vmla.f64,pop,add.w,vmov
mov,movw,adds,vmrs,sub,orr.w,adds,mov,vmul.f64,str,mov,strd
cmp,movt,vmov,bne.n,ldrh.w,ldr,cmp,bge.n,vmul.f64,add.w,vldr,vadd.f64
bne.n,ldr,mov,vsub.f64,ldrb.w,strb,vcvt.f64.s32,adds,vsub.f64,str,add,bne.n
adds,add,vmov,vcmp.f64,bgt.n,lsrs,vmul.f64,mov,vmul.f64,bx,vldr,bl
pop,vldr,adds,vmrs,ldr,orr.w,vdiv.f64,adc.w,vmla.f64,eor.w,vldr,push
subs,add,adds,bne.n,subs,strb.w,vadd.f64,cmp,vmul.f64,bl,vadd.f64,movw
mov,mov,vmov,vcmp.f64,str,ldr.w,beq.n,sbcs.w,it,movw,vsub.f64,movt
cmp,vadd.f64,cmp,vmrs,ldr,lsrs,vsub.f64,mov,vmla.f64,movt,vsub.f64,movw
bne.n,vldr,vdiv.f64,bne.n,str,lsrs,vabs.f64,mov,vaddmi.f64,push,vstmia,movw
adds,vadd.f64,vcvt.f64.s32,vsub.f64,ldr,lsrs,vcmpe.f64,mov,vmul.f64,movw,cmp,movs
pop,vldr,vdiv.f64,vcmp.f64,str,strb.w,vmov.f64,bge.n,bmi.n,ldmia.w,vadd.f64,ldr
subs,ubfx,vcvt.f64.s32,vmrs,ldr,ldr,vmrs,adds,vmov.f64,movw,bne.n,ldr
mov,sub.w,vdiv.f64,bne.n,str,ldr.w,bgt.n,mov,vcmpe.f64,uxth,vldr,uxth
cmp,smull,vcvt.f64.s32,vcmp.f64,ldr,strb,vmov,adc.w,vmrs,lsrs,vadd.f64,lsrs
bne.n,asrs,vdiv.f64,vmrs,str,strb.w,adds,cmp,it,uxth,vsub.f64,uxth
adds,ldrd,vcvt.f64.s32,bne.n,str,add.w,cmp,sbcs.w,bmi.n,lsrs,vsub.f64,lsrs
pop,vadd.f64,vdiv.f64,vsub.f64,str,cmp.w,vcvt.f64.s32,mov,vmovmi.f64,mla,vstmia,mla
subs,rsb,vcvt.f64.s32,vcmp.f64,bl,bne.n,vmul.f64,mov,vcmpe.f64,mla,cmp,mla
