bne.n,cmp,vcvt.f64.s32,movs,str,mov.w,adds,mov,sub.w,lsrs,vmul.f64,add.w,adds,and.w
adds,vadd.f64,vadd.f64,vsub.f64,ldr,mla,cmp,mov,add.w,uxth,vstmia,rsb,adcs,and.w
pop,bne.n,vdiv.f64,vcmp.f64,str,ldr.w,vcvt.f64.s32,bge.n,vldr,lsrs,cmp,lsl.w,cmp.w,and.w
subs,vldmdb,vsub.f64,vmrs,str,lsrs,vmul.f64,adds,vmla.f64,mla,vmul.f64,lsr.w,bne.n,eor.w
mov,cmp,vadd.f64,vcmp.f64,str,uxth,vdiv.f64,mov,add.w,mla,bne.n,lsl.w,eor.w,and.w
cmp,vadd.f64,vsub.f64,ite,bl,add.w,vadd.f64,adc.w,vmov,pop,vldmia,orr.w,movs,eor.w
bne.n,bne.n,vadd.f64,movne,push,mla,beq.n,cmp,vldr,str,vmul.f64,lsr.w,adds,and.w
adds,vldmdb,vsub.f64,vmrs,cmp,lsrs,vsub.f64,sbcs.w,vldr,add.w,vmul.f64,add,mov,and.w
pop,cmp,vadd.f64,bne.w,sub,uxth,vabs.f64,mov,vmov,str,vstmia,b.n,eor.w,mov.w
subs,vadd.f64,vsub.f64,cmp,ldrh.w,mov.w,vcmpe.f64,mov,vcvt.f64.s32,bx,cmp,cmp.w,eor.w,and.w
mov,bne.n,beq.n,bne.w,ldrb.w,mov.w,vmov.f64,mov,vcmpe.f64,vmov.f32,vmul.f64,bcc.n,eor.w,orr.w
cmp,vldmdb,vsub.f64,vsub.f64,bgt.n,mla,vmrs,bge.n,vmrs,vadd.f32,bne.n,cmp.w,eor.w,eor.w
bne.n,cmp,vabs.f64,vcmp.f64,ldr,mov.w,bgt.n,adds,ubfx,vdiv.f32,vldmia,bcc.n,adds,and.w
adds,vadd.f64,vcmpe.f64,vmrs,subs,mov,vmov,mov,sub.w,mul.w,vmul.f64,lsrs,adc.w,and.w
pop,bne.n,vmov.f64,vcmp.f64,str,add.w,adds,adc.w,vmov,bl,vmul.f64,movs.w,adds,eor.w
subs,vldmdb,vmrs,ite,ldr,orr.w,cmp,cmp,add.w,movw,vstmia,mov.w,adcs,eor.w
mov,cmp,bgt.n,movne,str,ldr,vcvt.f64.s32,sbcs.w,add.w,movt,cmp,add.w,cmp.w,and.w
cmp,vadd.f64,vmov,vmrs,ldr,strb,vmul.f64,mov,vldr,push,vmul.f64,mov.w,bne.n,eors
bne.n,bne.n,adds,bne.n,str,lsrs,vdiv.f64,mov,vstr,movw,bne.n,cmn.w,eor.w,eors
adds,vldmdb,adds,cmp,ldr,orr.w,vadd.f64,mov,vcvt.f64.s32,ldmia.w,vldmia,bcs.w,movs,orr.w
pop,cmp,vmov,bne.n,str,strb.w,beq.n,bge.n,vldr,movw,vmul.f64,cmp.w,adds,and.w
subs,vadd.f64,adds,cmp,ldr,ldr.w,vsub.f64,adds,vldr,uxth,vmul.f64,it,mov,eor.w
mov,bne.n,vmov,bne.n,str,mov,vabs.f64,mov,vldr,lsrs,vstmia,adcs.w,eor.w,eor.w
cmp,vldr,adds,vsub.f64,str,lsrs,vcmpe.f64,adc.w,vmla.f64,uxth,cmp,adceq.w,eor.w,orr.w
bne.n,vsub.f64,vmov,vcmp.f64,str,orr.w,vmov.f64,cmp,vldr,lsrs,vmul.f64,orr.w,eor.w,eors
adds,vldr,adds,vmrs,bl,strb.w,vmrs,sbcs.w,vmov.f64,mla,bne.n,pop,eor.w,and.w
pop,vmov,vcvt.f64.s32,bne.n,push,lsrs,bgt.n,mov,vmov.f64,mla,ldr,subs,adds,orr.w
subs,ldr,vmov,vcmp.f64,cmp,ldr.w,vmov,mov,vmla.f64,pop,add.w,vmov,adc.w,and.w
mov,movw,adds,vmrs,sub,orr.w,adds,mov,vmul.f64,str,mov,strd,adds,orr.w
cmp,movt,vmov,bne.n,ldrh.w,ldr,cmp,bge.n,vmul.f64,add.w,vldr,vadd.f64,adcs,orr.w
bne.n,ldr,mov,vsub.f64,ldrb.w,strb,vcvt.f64.s32,adds,vsub.f64,str,add,bne.n,cmp.w,ldmia.w
adds,add,vmov,vcmp.f64,bgt.n,lsrs,vmul.f64,mov,vmul.f64,bx,vldr,bl,bne.n,mov.w
pop,vldr,adds,vmrs,ldr,orr.w,vdiv.f64,adc.w,vmla.f64,eor.w,vldr,push,eor.w,orr.w
subs,add,adds,bne.n,subs,strb.w,vadd.f64,cmp,vmul.f64,bl,vadd.f64,movw,movs,mov
mov,mov,vmov,vcmp.f64,str,ldr.w,beq.n,sbcs.w,it,movw,vsub.f64,movt,adds,and.w
cmp,vadd.f64,cmp,vmrs,ldr,lsrs,vsub.f64,mov,vmla.f64,movt,vsub.f64,movw,mov,bl
bne.n,vldr,vdiv.f64,bne.n,str,lsrs,vabs.f64,mov,vaddmi.f64,push,vstmia,movw,eor.w,lsrs
adds,vadd.f64,vcvt.f64.s32,vsub.f64,ldr,lsrs,vcmpe.f64,mov,vmul.f64,movw,cmp,movs,eor.w,lsrs
pop,vldr,vdiv.f64,vcmp.f64,str,strb.w,vmov.f64,bge.n,bmi.n,ldmia.w,vadd.f64,ldr,eor.w,stmdb
subs,ubfx,vcvt.f64.s32,vmrs,ldr,ldr,vmrs,adds,vmov.f64,movw,bne.n,ldr,eor.w,lsrs
mov,sub.w,vdiv.f64,bne.n,str,ldr.w,bgt.n,mov,vcmpe.f64,uxth,vldr,uxth,adds,and.w
cmp,smull,vcvt.f64.s32,vcmp.f64,ldr,strb,vmov,adc.w,vmrs,lsrs,vadd.f64,lsrs,adc.w,and.w
bne.n,asrs,vdiv.f64,vmrs,str,strb.w,adds,cmp,it,uxth,vsub.f64,uxth,adds,and.w
adds,ldrd,vcvt.f64.s32,bne.n,str,add.w,cmp,sbcs.w,bmi.n,lsrs,vsub.f64,lsrs,adcs,eor.w
pop,vadd.f64,vdiv.f64,vsub.f64,str,cmp.w,vcvt.f64.s32,mov,vmovmi.f64,mla,vstmia,mla,cmp.w,and.w
subs,rsb,vcvt.f64.s32,vcmp.f64,bl,bne.n,vmul.f64,mov,vcmpe.f64,mla,cmp,mla,bne.n,eor.w
mov,bic.w,vdiv.f64,vmrs,push,uxth,vdiv.f64,mov,vmrs,pop,vadd.f64,uxth.w,eor.w,and.w
cmp,add.w,vcvt.f64.s32,beq.n,cmp,lsrs,vadd.f64,bge.n,ite,str,bne.n,lsrs,movs,and.w
bne.n,add.w,vdiv.f64,vcmp.f64,sub,uxth,beq.n,adds,vsubgt.f64,add.w,vldr,add.w,adds,mov.w
adds,sub.w,vcvt.f64.s32,vmrs,ldrh.w,lsrs,vsub.f64,mov,vcmpe.f64,str,vadd.f64,mla,mov,and.w
pop,vmov,vadd.f64,bne.n,ldrb.w,mla,vabs.f64,adc.w,vaddle.f64,bx,vsub.f64,uxth,eor.w,orr.w
subs,vadd.f64,vdiv.f64,vpop,bgt.n,mov.w,vcmpe.f64,cmp,vmrs,vmul.f32,vsub.f64,lsrs,eor.w,eor.w
mov,vldr,vsub.f64,vmov.f64,ldr,mla,vmov.f64,sbcs.w,vadd.f64,add,vstmia,mla,eor.w,and.w
cmp,vsub.f64,vadd.f64,vmov.f64,subs,ldr.w,vmrs,mov,it,bl,cmp,mov,eor.w,and.w
bne.n,vadd.f64,vsub.f64,bx,str,lsrs,bgt.n,mov,bmi.n,movw,vadd.f64,str,adds,eor.w
adds,vldr,vadd.f64,vmov.f64,ldr,uxth,vmov,mov,vmovmi.f64,movt,bne.n,add.w,adc.w,eor.w
pop,vsub.f64,vsub.f64,vmov.f64,str,add.w,adds,bge.n,vcmpe.f64,push,add,orr.w,adds,and.w
subs,vadd.f64,vadd.f64,blx,ldr,mla,cmp,adds,vmrs,movw,vldr,str,adcs,eors
mov,vadd.f64,vsub.f64,add,str,lsrs,vcvt.f64.s32,mov,it,ldmia.w,mov,mov,cmp.w,eors
cmp,vadd.f64,beq.n,add,ldr,uxth,vmul.f64,adc.w,bmi.n,movw,vldmdb,pop,bne.n,orr.w
bne.n,vadd.f64,vsub.f64,ldr,str,mov.w,vdiv.f64,cmp,vmovmi.f64,uxth,cmp,bl,eor.w,and.w
adds,vsub.f64,vabs.f64,push,ldr,mov.w,vadd.f64,sbcs.w,vcmpe.f64,lsrs,vadd.f64,orrs.w,movs,eor.w
pop,vsub.f64,vcmpe.f64,vpush,str,mla,beq.n,mov,ldr,uxth,bne.n,it,adds,eor.w
subs,vadd.f64,vmov.f64,sub,str,mov.w,vsub.f64,mov,add,lsrs,vldmdb,push,mov,orr.w
mov,vsub.f64,vmrs,vmov.f64,str,mov,vabs.f64,mov,vldr,mla,cmp,moveq.w,eor.w,eors
cmp,vldmia,bgt.n,vmov.f64,bl,add.w,vcmpe.f64,bge.n,ldr,mla,vadd.f64,b.n,eor.w,and.w
bne.n,vmul.f64,vmov,blx,push,orr.w,vmov.f64,adds,vmrs,pop,bne.n,mov.w,eor.w,orr.w
adds,vmul.f64,adds,add,cmp,ldr,vmrs,mov,it,str,vldmdb,add.w,eor.w,and.w
pop,vstmia,adds,add,sub,strb,bgt.n,adc.w,vsubgt.f64,add.w,cmp,movs.w,adds,orr.w
subs,cmp,vmov,ldr,ldrh.w,lsrs,vmov,cmp,add,str,vadd.f64,beq.w,adc.w,orr.w
mov,vmul.f64,adds,vmov,ldrb.w,orr.w,adds,sbcs.w,vldr,bx,bne.n,mov.w,adds,ldmia.w
cmp,bne.n,vmov,and.w,bgt.n,strb.w,cmp,mov,it,vadd.f32,vldmdb,movs.w,adcs,adds
bne.n,vldmia,adds,bx,ldr,ldr.w,vcvt.f64.s32,mov,vadd.f64,umull,cmp,it,cmp.w,cmp.w
adds,vmul.f64,vmov,vmov.f64,subs,mov,vmul.f64,mov,vldrle,subs,vadd.f64,addne,bne.n,orr.w
pop,vmul.f64,adds,mov,str,lsrs,vdiv.f64,bge.n,vadd.f64,add.w,bne.n,movs.w,eor.w,orr.w
subs,vstmia,vcvt.f64.s32,bl,ldr,orr.w,vadd.f64,adds,vadd.f64,lsrs,vldmdb,it,movs,add
mov,cmp,vmov,vmov,str,strb.w,beq.n,mov,vadd.f64,orr.w,cmp,addne,adds,bne.n
cmp,vmul.f64,adds,push,ldr,lsrs,vsub.f64,adc.w,vmla.f64,rsb,vadd.f64,add.w,mov,ubfx
bne.n,bne.n,vmov,movs,str,ldr.w,vabs.f64,cmp,vadd.f64,umull,bne.n,rsb,eor.w,bl
adds,vldmia,mov,movt,ldr,orr.w,vcmpe.f64,sbcs.w,vadd.f64,blx,vldmdb,lsl.w,eor.w,lsrs
pop,vmul.f64,vmov,bic.w,str,ldr,vmov.f64,mov,vsub.f64,add,cmp,lsr.w,eor.w,lsrs
subs,vmul.f64,adds,ubfx,ldr,strb,vmrs,mov,vadd.f64,add,vadd.f64,lsl.w,eor.w,stmdb
mov,vstmia,adds,orrs,str,lsrs,bgt.n,mov,vadd.f64,ldr,bne.n,orr.w,adds,lsrs
cmp,cmp,vmov,lsrs,str,orr.w,vmov,bge.n,vcmp.f64,vmov,vldr,lsr.w,adc.w,and.w
bne.n,vmul.f64,cmp,lsls,str,strb.w,adds,adds,vmrs,movw,vsub.f64,add,adds,and.w
adds,bne.n,vdiv.f64,orrs.w,bl,ldr.w,cmp,mov,beq.w,movt,vldr,b.n,adcs,and.w
pop,vldmia,vcvt.f64.s32,it,push,lsrs,vcvt.f64.s32,adc.w,add.w,vmov.f32,vmov,cmp.w,cmp.w,eor.w
subs,vmul.f64,vdiv.f64,bne.n,cmp,lsrs,vmul.f64,cmp,add.w,push,ldr,bcc.n,bne.n,and.w
mov,vmul.f64,vcvt.f64.s32,cbnz,sub,lsrs,vdiv.f64,sbcs.w,vpop,sub,movw,cmp.w,eor.w,eor.w
cmp,vstmia,vdiv.f64,cmp,ldrh.w,strb.w,vadd.f64,mov,pop,bic.w,movt,bcc.n,movs,and.w
bne.n,cmp,vcvt.f64.s32,it,ldrb.w,ldr,beq.n,mov,vadd.f64,cmp,ldr,lsrs,adds,and.w
adds,vmul.f64,vdiv.f64,bne.n,bgt.n,ldr.w,vsub.f64,mov,vcmpe.f64,ble.n,add,movs.w,mov,mov.w
pop,bne.n,vcvt.f64.s32,rsbsne,ldr,strb,vabs.f64,bge.n,vmov.f64,cmp.w,vldr,mov.w,eor.w,and.w
subs,vldmia,vdiv.f64,it,subs,strb.w,vcmpe.f64,adds,vmrs,blt.n,add,add.w,eor.w,orr.w
mov,vmul.f64,vcvt.f64.s32,movcc,str,add.w,vmov.f64,mov,vsub.f64,beq.n,mov,mov.w,eor.w,eor.w
cmp,vmul.f64,vdiv.f64,b.n,ldr,cmp.w,vmrs,adc.w,vmov.f64,vsub.f32,vadd.f64,cmn.w,eor.w,and.w
bne.n,vstmia,vcvt.f64.s32,pop,str,bne.n,bgt.n,cmp,bmi.n,add,vldr,bcs.w,adds,and.w
adds,cmp,vdiv.f64,bx,ldr,uxth,vmov,sbcs.w,vsub.f64,pop,vadd.f64,cmp.w,adc.w,eor.w
pop,vmul.f64,vcvt.f64.s32,vmov.f64,str,lsrs,adds,mov,vabs.f64,lsrs,vldr,it,adds,eor.w
subs,bne.n,vadd.f64,mov,ldr,uxth,cmp,mov,vcmpe.f64,bic.w,ubfx,adcs.w,adcs,and.w
mov,vldmia,vdiv.f64,bl,str,lsrs,vcvt.f64.s32,mov,vmov.f64,bic.w,sub.w,adceq.w,cmp.w,eors
cmp,vmul.f64,vsub.f64,vmov,ldr,mla,vmul.f64,bge.n,vmrs,vsub.f32,smull,orr.w,bne.n,eors
bne.n,vmul.f64,vadd.f64,push,str,mov.w,vdiv.f64,adds,ble.n,vmov.f32,asrs,pop,eor.w,orr.w
adds,vstmia,vsub.f64,movs,str,mla,vadd.f64,mov,vdiv.f64,blx,ldrd,subs,movs,and.w
pop,cmp,vadd.f64,movt,str,ldr.w,beq.n,adc.w,vadd.f64,add,vadd.f64,vmov,adds,eor.w
subs,vmul.f64,vsub.f64,bic.w,bl,lsrs,vsub.f64,cmp,blx,add,rsb,strd,mov,eor.w
mov,bne.n,vadd.f64,ubfx,push,uxth,vabs.f64,sbcs.w,add,ldr,bic.w,vadd.f64,eor.w,orr.w
cmp,vldr,vsub.f64,orrs,cmp,add.w,vcmpe.f64,mov,add,vmov,add.w,bne.n,eor.w,eors
